kind,value,source
extension,1,github-linguist + curated
extension,1in,github-linguist + curated
extension,1m,github-linguist + curated
extension,1x,github-linguist + curated
extension,2,github-linguist + curated
extension,2da,github-linguist + curated
extension,3,github-linguist + curated
extension,3in,github-linguist + curated
extension,3m,github-linguist + curated
extension,3p,github-linguist + curated
extension,3pm,github-linguist + curated
extension,3qt,github-linguist + curated
extension,3x,github-linguist + curated
extension,4,github-linguist + curated
extension,4dform,github-linguist + curated
extension,4dm,github-linguist + curated
extension,4dproject,github-linguist + curated
extension,4th,github-linguist + curated
extension,5,github-linguist + curated
extension,6,github-linguist + curated
extension,6pl,github-linguist + curated
extension,6pm,github-linguist + curated
extension,7,github-linguist + curated
extension,8,github-linguist + curated
extension,8xp,github-linguist + curated
extension,8xp.txt,github-linguist + curated
extension,9,github-linguist + curated
extension,_coffee,github-linguist + curated
extension,_js,github-linguist + curated
extension,_ls,github-linguist + curated
extension,action,github-linguist + curated
extension,ada,github-linguist + curated
extension,adml,github-linguist + curated
extension,admx,github-linguist + curated
extension,adp,github-linguist + curated
extension,afm,github-linguist + curated
extension,agc,github-linguist + curated
extension,ahkl,github-linguist + curated
extension,aidl,github-linguist + curated
extension,aj,github-linguist + curated
extension,ak,github-linguist + curated
extension,al,github-linguist + curated
extension,als,github-linguist + curated
extension,ampl,github-linguist + curated
extension,angelscript,github-linguist + curated
extension,anim,github-linguist + curated
extension,ant,github-linguist + curated
extension,antlers.html,github-linguist + curated
extension,antlers.php,github-linguist + curated
extension,antlers.xml,github-linguist + curated
extension,apacheconf,github-linguist + curated
extension,apex,github-linguist + curated
extension,apib,github-linguist + curated
extension,apl,github-linguist + curated
extension,app,github-linguist + curated
extension,app.src,github-linguist + curated
extension,arpa,github-linguist + curated
extension,arr,github-linguist + curated
extension,asax,github-linguist + curated
extension,asc,github-linguist + curated
extension,asd,github-linguist + curated
extension,asddls,github-linguist + curated
extension,ash,github-linguist + curated
extension,asl,github-linguist + curated
extension,asmx,github-linguist + curated
extension,asn,github-linguist + curated
extension,asn1,github-linguist + curated
extension,asp,github-linguist + curated
extension,asset,github-linguist + curated
extension,asy,github-linguist + curated
extension,aug,github-linguist + curated
extension,auk,github-linguist + curated
extension,aux,github-linguist + curated
extension,avdl,github-linguist + curated
extension,avsc,github-linguist + curated
extension,aw,github-linguist + curated
extension,axaml,github-linguist + curated
extension,axd,github-linguist + curated
extension,axi,github-linguist + curated
extension,axi.erb,github-linguist + curated
extension,axml,github-linguist + curated
extension,axs,github-linguist + curated
extension,axs.erb,github-linguist + curated
extension,bats,github-linguist + curated
extension,bbappend,github-linguist + curated
extension,bbclass,github-linguist + curated
extension,bbx,github-linguist + curated
extension,bdf,github-linguist + curated
extension,be,github-linguist + curated
extension,befunge,github-linguist + curated
extension,bf,github-linguist + curated
extension,bibtex,github-linguist + curated
extension,bicep,github-linguist + curated
extension,bicepparam,github-linguist + curated
extension,bison,github-linguist + curated
extension,blade,github-linguist + curated
extension,blade.php,github-linguist + curated
extension,bmx,github-linguist + curated
extension,bones,github-linguist + curated
extension,boot,github-linguist + curated
extension,bpl,github-linguist + curated
extension,bqn,github-linguist + curated
extension,brd,github-linguist + curated
extension,bro,github-linguist + curated
extension,brs,github-linguist + curated
extension,bru,github-linguist + curated
extension,bs,github-linguist + curated
extension,bsl,github-linguist + curated
extension,bst,github-linguist + curated
extension,bsv,github-linguist + curated
extension,builder,github-linguist + curated
extension,builds,github-linguist + curated
extension,c++-objdump,github-linguist + curated
extension,c++objdump,github-linguist + curated
extension,c-objdump,github-linguist + curated
extension,c3,github-linguist + curated
extension,cabal,github-linguist + curated
extension,caddyfile,github-linguist + curated
extension,cairo,github-linguist + curated
extension,cake,github-linguist + curated
extension,capnp,github-linguist + curated
extension,carbon,github-linguist + curated
extension,cats,github-linguist + curated
extension,cbx,github-linguist + curated
extension,ccp,github-linguist + curated
extension,ccproj,github-linguist + curated
extension,ccxml,github-linguist + curated
extension,cdc,github-linguist + curated
extension,cdf,github-linguist + curated
extension,cds,github-linguist + curated
extension,cfml,github-linguist + curated
extension,ch,github-linguist + curated
extension,chem,github-linguist + curated
extension,chs,github-linguist + curated
extension,cil,github-linguist + curated
extension,circom,github-linguist + curated
extension,cirru,github-linguist + curated
extension,cj,github-linguist + curated
extension,cjsx,github-linguist + curated
extension,ck,github-linguist + curated
extension,cl2,github-linguist + curated
extension,clar,github-linguist + curated
extension,click,github-linguist + curated
extension,clixml,github-linguist + curated
extension,cljs.hl,github-linguist + curated
extension,cljscm,github-linguist + curated
extension,cljx,github-linguist + curated
extension,clue,github-linguist + curated
extension,clw,github-linguist + curated
extension,cmake.in,github-linguist + curated
extension,cmp,github-linguist + curated
extension,cnc,github-linguist + curated
extension,cnf,github-linguist + curated
extension,cobol,github-linguist + curated
extension,cocci,github-linguist + curated
extension,code-snippets,github-linguist + curated
extension,coffee.md,github-linguist + curated
extension,com,github-linguist + curated
extension,conll,github-linguist + curated
extension,conllu,github-linguist + curated
extension,containerfile,github-linguist + curated
extension,cook,github-linguist + curated
extension,coq,github-linguist + curated
extension,cp,github-linguist + curated
extension,cpp-objdump,github-linguist + curated
extension,cppm,github-linguist + curated
extension,cppobjdump,github-linguist + curated
extension,cproject,github-linguist + curated
extension,cps,github-linguist + curated
extension,cql,github-linguist + curated
extension,crc32,github-linguist + curated
extension,creole,github-linguist + curated
extension,cs.pp,github-linguist + curated
extension,csc,github-linguist + curated
extension,cscfg,github-linguist + curated
extension,csd,github-linguist + curated
extension,csdef,github-linguist + curated
extension,csl,github-linguist + curated
extension,cson,github-linguist + curated
extension,csv,github-linguist + curated
extension,csx,github-linguist + curated
extension,ct,github-linguist + curated
extension,ctl,github-linguist + curated
extension,ctp,github-linguist + curated
extension,cue,github-linguist + curated
extension,cuh,github-linguist + curated
extension,curry,github-linguist + curated
extension,cw,github-linguist + curated
extension,cwl,github-linguist + curated
extension,cxx-objdump,github-linguist + curated
extension,cy,github-linguist + curated
extension,cylc,github-linguist + curated
extension,cyp,github-linguist + curated
extension,cypher,github-linguist + curated
extension,d-objdump,github-linguist + curated
extension,d2,github-linguist + curated
extension,dae,github-linguist + curated
extension,darcspatch,github-linguist + curated
extension,das,github-linguist + curated
extension,db2,github-linguist + curated
extension,dcl,github-linguist + curated
extension,ddl,github-linguist + curated
extension,decls,github-linguist + curated
extension,depproj,github-linguist + curated
extension,desktop.in,github-linguist + curated
extension,dfm,github-linguist + curated
extension,dfy,github-linguist + curated
